GrantId,PersonID,Role,YearofBirth,CountryofBirth,HomeLanguage,DeptNo,FacultyNo,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C
5386.0,9982.0,CHIEF_INVESTIGATOR,1955.0,Australia,,1033.0,1.0,Yes ,>5 to 10,0.0,1.0,0.0,2.0,2.0,0.0
5387.0,46922.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2163.0,19.0,Yes ,>=0 to 5,0.0,2.0,1.0,2.0,4.0,0.0
5388.0,34737.0,CHIEF_INVESTIGATOR,1970.0,North America,,2603.0,25.0,Yes ,>=0 to 5,6.0,13.0,5.0,8.0,13.0,1.0
5389.0,764597.0,CHIEF_INVESTIGATOR,1965.0,,,,,Yes ,,1.0,1.0,1.0,0.0,1.0,0.0
5390.0,68252.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,528.0,7.0,Yes ,more than 15,0.0,5.0,1.0,2.0,1.0,1.0
5391.0,633777.0,CHIEF_INVESTIGATOR,1980.0,,,3198.0,31.0,,,0.0,1.0,4.0,5.0,0.0,2.0
5392.0,3292.0,CHIEF_INVESTIGATOR,1945.0,Australia,,828.0,7.0,Yes ,>10 to 15,0.0,2.0,0.0,1.0,0.0,1.0
5393.0,131112.0,CHIEF_INVESTIGATOR,1970.0,Australia,,3198.0,31.0,Yes ,>=0 to 5,3.0,1.0,11.0,22.0,3.0,0.0
5394.0,15757.0,CHIEF_INVESTIGATOR,1950.0,Australia,,653.0,7.0,,>5 to 10,0.0,1.0,1.0,3.0,0.0,1.0
5396.0,24257.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,Other,548.0,7.0,,,1.0,2.0,0.0,1.0,2.0,0.0
5397.0,729002.0,CHIEF_INVESTIGATOR,1975.0,Asia Pacific,,2053.0,19.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
5398.0,6502.0,CHIEF_INVESTIGATOR,1940.0,Australia,,653.0,7.0,,>=0 to 5,0.0,2.0,0.0,0.0,1.0,0.0
5399.0,28502.0,CHIEF_INVESTIGATOR,1970.0,New Zealand,,2603.0,25.0,Yes ,>=0 to 5,0.0,4.0,11.0,9.0,6.0,2.0
5399,289377.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2603.0,25.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,0.0,0.0
5400.0,126927.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2053.0,19.0,Yes ,>=0 to 5,3.0,4.0,16.0,7.0,6.0,0.0
5400,808267.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2178.0,19.0,,Less than 0,2.0,1.0,0.0,0.0,0.0,0.0
5401.0,32522.0,CHIEF_INVESTIGATOR,1970.0,Australia,,3198.0,31.0,Yes ,>5 to 10,2.0,6.0,9.0,3.0,2.0,0.0
5402.0,65387.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2558.0,25.0,Yes ,>10 to 15,1.0,5.0,3.0,10.0,17.0,1.0
5402,636677.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2768.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
5402,47517.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,2533.0,25.0,,,1.0,1.0,1.0,11.0,3.0,4.0
5402,43882.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2768.0,25.0,Yes ,>=0 to 5,0.0,10.0,3.0,11.0,5.0,4.0
5402,82482.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,1.0,3.0,1.0,2.0
5402,123547.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2533.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
5404.0,85082.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3658.0,22.0,,,0.0,1.0,0.0,1.0,3.0,3.0
5405.0,71432.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,,2103.0,19.0,Yes ,>10 to 15,0.0,2.0,0.0,12.0,10.0,4.0
5406.0,30047.0,CHIEF_INVESTIGATOR,1965.0,Eastern Europe,,3943.0,31.0,Yes ,>5 to 10,2.0,0.0,6.0,3.0,5.0,0.0
5406,1687.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2603.0,25.0,Yes ,>10 to 15,1.0,0.0,0.0,0.0,0.0,0.0
5407.0,81117.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,English,2253.0,19.0,,Less than 0,1.0,3.0,8.0,15.0,14.0,4.0
5408.0,10377.0,CHIEF_INVESTIGATOR,1975.0,Australia,English,593.0,7.0,Yes ,>=0 to 5,0.0,2.0,1.0,1.0,1.0,2.0
5409.0,112562.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2163.0,19.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,1.0,0.0
5409,487812.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,Other,2163.0,19.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
5409,717402.0,CHIEF_INVESTIGATOR,1980.0,Asia Pacific,,2163.0,19.0,Yes ,>=0 to 5,3.0,0.0,2.0,0.0,1.0,0.0
5409,80137.0,DELEGATED_RESEARCHER,1950.0,Australia,,2163.0,19.0,Yes ,more than 15,1.0,0.0,5.0,11.0,2.0,1.0
5410.0,7842.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,Other,1033.0,1.0,Yes ,>10 to 15,2.0,1.0,0.0,4.0,1.0,4.0
5410,64657.0,CHIEF_INVESTIGATOR,1940.0,Great Britain,,1033.0,1.0,,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
5411.0,76022.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2103.0,19.0,Yes ,>10 to 15,2.0,3.0,16.0,10.0,2.0,0.0
5411,19967.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2253.0,19.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
5411,68032.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2103.0,19.0,,Less than 0,0.0,1.0,1.0,10.0,3.0,1.0
5411,49592.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2103.0,19.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,1.0,1.0
5411,663347.0,CHIEF_INVESTIGATOR,1955.0,North America,,,19.0,Yes ,>=0 to 5,0.0,2.0,0.0,3.0,2.0,2.0
5412.0,80217.0,CHIEF_INVESTIGATOR,1940.0,Australia,,3198.0,31.0,,more than 15,0.0,4.0,6.0,29.0,0.0,3.0
5413.0,868722.0,CHIEF_INVESTIGATOR,1965.0,Australia,,,,Yes ,,0.0,2.0,4.0,8.0,7.0,0.0
5414.0,132957.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2853.0,25.0,,>=0 to 5,0.0,2.0,2.0,1.0,2.0,0.0
5414,126907.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5415.0,5812.0,CHIEF_INVESTIGATOR,1965.0,North America,English,2153.0,19.0,,,0.0,0.0,0.0,1.0,1.0,1.0
5415,39562.0,CHIEF_INVESTIGATOR,1945.0,Great Britain,,2153.0,19.0,Yes ,>5 to 10,2.0,0.0,0.0,0.0,0.0,0.0
5416.0,109052.0,CHIEF_INVESTIGATOR,1980.0,Australia,,498.0,7.0,,,0.0,1.0,0.0,0.0,0.0,0.0
5417.0,395587.0,CHIEF_INVESTIGATOR,1960.0,Australia,,603.0,7.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,1.0
5418.0,373802.0,CHIEF_INVESTIGATOR,1970.0,Australia,,,,,,0.0,1.0,3.0,7.0,6.0,3.0
5418,685327.0,CHIEF_INVESTIGATOR,1970.0,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0
5419.0,23452.0,CHIEF_INVESTIGATOR,1970.0,The Americas,English,2253.0,19.0,Yes ,>5 to 10,1.0,2.0,0.0,4.0,6.0,0.0
5420.0,358382.0,CHIEF_INVESTIGATOR,1975.0,Australia,,1798.0,118.0,,Less than 0,1.0,2.0,0.0,0.0,1.0,3.0
5421.0,80692.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2298.0,46.0,Yes ,>10 to 15,6.0,3.0,1.0,4.0,3.0,0.0
5422.0,81117.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,English,2253.0,19.0,,Less than 0,1.0,3.0,8.0,15.0,14.0,4.0
5422,19952.0,CHIEF_INVESTIGATOR,1955.0,Great Britain,English,1033.0,1.0,Yes ,>5 to 10,0.0,3.0,0.0,0.0,0.0,0.0
5424.0,44737.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3073.0,31.0,Yes ,>=0 to 5,0.0,1.0,5.0,1.0,2.0,0.0
5424,93907.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,3073.0,31.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
5424,80717.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2298.0,46.0,,Less than 0,0.0,2.0,0.0,1.0,1.0,2.0
5425.0,4387.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2298.0,46.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,10.0,2.0
5426.0,24542.0,CHIEF_INVESTIGATOR,1955.0,,,2153.0,19.0,Yes ,>5 to 10,0.0,0.0,1.0,1.0,1.0,0.0
5426,69732.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2153.0,19.0,Yes ,more than 15,4.0,1.0,0.0,0.0,0.0,0.0
5427.0,547.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2053.0,19.0,Yes ,>10 to 15,0.0,0.0,8.0,28.0,3.0,0.0
5427,78537.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2603.0,25.0,Yes ,more than 15,2.0,3.0,0.0,0.0,0.0,0.0
5427,495212.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2053.0,19.0,,Less than 0,4.0,2.0,23.0,2.0,4.0,0.0
5428.0,5582.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3048.0,31.0,Yes ,>10 to 15,1.0,0.0,13.0,8.0,1.0,1.0
5429.0,82512.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,,2153.0,19.0,Yes ,more than 15,2.0,4.0,7.0,9.0,5.0,4.0
5429,77402.0,CHIEF_INVESTIGATOR,1950.0,Middle East and Africa,,2153.0,19.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
5431.0,71917.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3658.0,22.0,,>5 to 10,1.0,0.0,1.0,7.0,0.0,0.0
5432.0,1012.0,CHIEF_INVESTIGATOR,1945.0,Australia,English,3123.0,31.0,Yes ,>5 to 10,1.0,1.0,11.0,2.0,15.0,0.0
5432,80197.0,CHIEF_INVESTIGATOR,1950.0,Australia,English,3123.0,31.0,Yes ,>5 to 10,3.0,3.0,0.0,0.0,0.0,0.0
5434.0,6747.0,CHIEF_INVESTIGATOR,1955.0,Australia,English,3268.0,31.0,Yes ,>5 to 10,0.0,6.0,0.0,1.0,1.0,2.0
5434,5222.0,CHIEF_INVESTIGATOR,1940.0,Australia,,3268.0,31.0,,Less than 0,0.0,6.0,3.0,4.0,7.0,0.0
5435.0,5287.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3123.0,31.0,Yes ,>5 to 10,2.0,4.0,10.0,13.0,3.0,0.0
5435,80172.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3123.0,31.0,Yes ,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0
5436.0,129622.0,CHIEF_INVESTIGATOR,1965.0,North America,,593.0,7.0,,,1.0,0.0,1.0,1.0,2.0,2.0
5436,129492.0,CHIEF_INVESTIGATOR,1945.0,Australia,,593.0,7.0,Yes ,>=0 to 5,0.0,2.0,0.0,0.0,0.0,0.0
5437.0,117317.0,CHIEF_INVESTIGATOR,1965.0,Australia,,118.0,118.0,,,0.0,2.0,0.0,0.0,0.0,0.0
5438.0,65832.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3658.0,22.0,Yes ,>10 to 15,1.0,0.0,0.0,8.0,0.0,3.0
5439.0,29817.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3198.0,31.0,,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
5440.0,32672.0,CHIEF_INVESTIGATOR,1975.0,Asia Pacific,,3073.0,31.0,Yes ,>5 to 10,1.0,1.0,1.0,3.0,1.0,1.0
5441.0,733922.0,CHIEF_INVESTIGATOR,1965.0,,,3073.0,31.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
5442.0,127447.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2053.0,19.0,Yes ,>=0 to 5,0.0,1.0,1.0,0.0,7.0,1.0
5443.0,14267.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,2178.0,19.0,Yes ,>5 to 10,1.0,4.0,3.0,2.0,8.0,7.0
5443,131527.0,CHIEF_INVESTIGATOR,1975.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5444.0,29797.0,CHIEF_INVESTIGATOR,1975.0,Australia,,653.0,7.0,Yes ,Less than 0,0.0,2.0,0.0,0.0,1.0,2.0
5445.0,35562.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3123.0,31.0,Yes ,>5 to 10,0.0,3.0,7.0,4.0,10.0,5.0
5446.0,67622.0,CHIEF_INVESTIGATOR,1945.0,North America,,803.0,7.0,Yes ,more than 15,0.0,2.0,1.0,0.0,0.0,0.0
5447.0,63427.0,CHIEF_INVESTIGATOR,1945.0,Australia,,1678.0,13.0,,>=0 to 5,0.0,0.0,0.0,6.0,3.0,6.0
5447,23697.0,CHIEF_INVESTIGATOR,1970.0,Asia Pacific,,1678.0,13.0,Yes ,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0
5447,72537.0,CHIEF_INVESTIGATOR,1945.0,Australia,,1578.0,13.0,Yes ,>10 to 15,0.0,0.0,1.0,6.0,12.0,4.0
5447,500447.0,CHIEF_INVESTIGATOR,1955.0,Western Europe,,1678.0,13.0,,,0.0,3.0,2.0,0.0,4.0,1.0
5448.0,13042.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,2153.0,19.0,Yes ,>5 to 10,0.0,2.0,4.0,0.0,2.0,2.0
5450.0,97072.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3198.0,31.0,Yes ,>=0 to 5,0.0,2.0,5.0,2.0,1.0,0.0
5451.0,64337.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2558.0,25.0,Yes ,more than 15,0.0,1.0,7.0,20.0,6.0,1.0
5451,297087.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2713.0,25.0,,>=0 to 5,0.0,2.0,0.0,0.0,0.0,0.0
5451,93362.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2713.0,25.0,,>=0 to 5,0.0,1.0,2.0,10.0,0.0,4.0
5452.0,30987.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3658.0,22.0,Yes ,>=0 to 5,0.0,1.0,0.0,1.0,25.0,33.0
5453.0,3207.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2678.0,25.0,,Less than 0,0.0,4.0,2.0,3.0,1.0,7.0
5453,115867.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
5453,649042.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,4.0,2.0,1.0,0.0,2.0,3.0
5453,17367.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,2523.0,25.0,Yes ,>5 to 10,2.0,5.0,6.0,3.0,9.0,3.0
5453,79192.0,CHIEF_INVESTIGATOR,1950.0,Australia,,,25.0,Yes ,more than 15,5.0,8.0,51.0,81.0,32.0,6.0
5454.0,80502.0,CHIEF_INVESTIGATOR,1950.0,Australia,English,2578.0,25.0,Yes ,>5 to 10,0.0,1.0,0.0,2.0,3.0,1.0
5455.0,62967.0,CHIEF_INVESTIGATOR,1950.0,Australia,,528.0,7.0,,Less than 0,0.0,1.0,2.0,7.0,5.0,1.0
5456.0,491012.0,CHIEF_INVESTIGATOR,1980.0,,,,,,,0.0,0.0,7.0,1.0,0.0,0.0
5456,82892.0,CHIEF_INVESTIGATOR,1970.0,Western Europe,,2053.0,19.0,Yes ,>=0 to 5,5.0,0.0,0.0,0.0,0.0,0.0
5457.0,7947.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,3048.0,31.0,Yes ,>10 to 15,5.0,1.0,24.0,8.0,4.0,4.0
5457,79837.0,CHIEF_INVESTIGATOR,1950.0,Australia,,3048.0,31.0,Yes ,more than 15,0.0,0.0,0.0,0.0,0.0,0.0
5458.0,66047.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3198.0,31.0,Yes ,more than 15,4.0,1.0,90.0,34.0,22.0,2.0
5459.0,68252.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,528.0,7.0,Yes ,more than 15,0.0,5.0,1.0,2.0,1.0,1.0
5460.0,111537.0,CHIEF_INVESTIGATOR,1960.0,Western Europe,,803.0,7.0,Yes ,>=0 to 5,1.0,1.0,5.0,4.0,0.0,0.0
5461.0,22077.0,CHIEF_INVESTIGATOR,1955.0,Western Europe,,3273.0,31.0,,Less than 0,1.0,1.0,10.0,2.0,3.0,1.0
5461,28387.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3273.0,31.0,Yes ,>5 to 10,0.0,1.0,0.0,0.0,0.0,0.0
5461,31972.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,3273.0,31.0,,>=0 to 5,0.0,1.0,11.0,3.0,4.0,2.0
5462.0,77477.0,CHIEF_INVESTIGATOR,1945.0,Australia,,653.0,7.0,Yes ,Less than 0,0.0,1.0,0.0,2.0,0.0,4.0
5463.0,3762.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3198.0,31.0,Yes ,>10 to 15,1.0,4.0,5.0,5.0,5.0,0.0
5464.0,74317.0,CHIEF_INVESTIGATOR,1955.0,North America,English,593.0,7.0,Yes ,>10 to 15,0.0,1.0,0.0,0.0,0.0,0.0
5465.0,6562.0,CHIEF_INVESTIGATOR,1955.0,South Africa,English,2053.0,19.0,,Less than 0,1.0,1.0,41.0,16.0,12.0,4.0
5466.0,3207.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2678.0,25.0,,Less than 0,0.0,4.0,2.0,3.0,1.0,7.0
5466,82567.0,DELEGATED_RESEARCHER,1955.0,Australia,English,2678.0,25.0,Yes ,more than 15,2.0,2.0,0.0,0.0,0.0,0.0
5467.0,164977.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1663.0,13.0,Yes ,>=0 to 5,0.0,0.0,0.0,4.0,6.0,1.0
5467,18862.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
5467,39967.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,Other,1498.0,13.0,Yes ,>5 to 10,1.0,0.0,0.0,6.0,3.0,0.0
5468.0,416072.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2813.0,25.0,,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
5469.0,15047.0,CHIEF_INVESTIGATOR,1965.0,,,,,,,0.0,0.0,0.0,1.0,5.0,2.0
5469,66917.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3658.0,22.0,Yes ,>5 to 10,1.0,1.0,0.0,0.0,0.0,0.0
5470.0,107262.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,3198.0,31.0,,,0.0,3.0,0.0,1.0,5.0,1.0
5471.0,82612.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2253.0,19.0,Yes ,>10 to 15,0.0,1.0,0.0,0.0,3.0,0.0
5472.0,113052.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3703.0,10.0,Yes ,>=0 to 5,0.0,2.0,0.0,2.0,0.0,1.0
5473.0,58792.0,CHIEF_INVESTIGATOR,1970.0,Australia,,528.0,7.0,Yes ,>=0 to 5,0.0,1.0,0.0,6.0,1.0,0.0
5473,13612.0,CHIEF_INVESTIGATOR,1965.0,Australia,,828.0,7.0,Yes ,>5 to 10,0.0,1.0,0.0,0.0,0.0,0.0
5474.0,13682.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,English,1258.0,34.0,Yes ,>5 to 10,2.0,3.0,1.0,19.0,3.0,2.0
5474,60082.0,CHIEF_INVESTIGATOR,1970.0,Australia,,1258.0,34.0,,Less than 0,0.0,2.0,0.0,0.0,0.0,0.0
5476.0,30962.0,CHIEF_INVESTIGATOR,1950.0,Australia,,528.0,7.0,,>5 to 10,0.0,2.0,1.0,0.0,1.0,0.0
5478.0,57192.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2053.0,19.0,,Less than 0,1.0,2.0,1.0,5.0,0.0,0.0
5479.0,75972.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2603.0,25.0,Yes ,>5 to 10,2.0,3.0,6.0,5.0,4.0,4.0
5479,39812.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2603.0,25.0,Yes ,>5 to 10,3.0,1.0,0.0,0.0,0.0,0.0
5480.0,39277.0,CHIEF_INVESTIGATOR,1950.0,Asia Pacific,English,3273.0,31.0,Yes ,>=0 to 5,1.0,2.0,0.0,5.0,3.0,1.0
5480,28387.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3273.0,31.0,Yes ,>5 to 10,0.0,1.0,0.0,0.0,0.0,0.0
5481.0,166802.0,CHIEF_INVESTIGATOR,1970.0,Australia,,3273.0,31.0,Yes ,>=0 to 5,1.0,1.0,10.0,7.0,4.0,1.0
5482.0,66487.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3098.0,31.0,Yes ,>10 to 15,2.0,0.0,16.0,24.0,1.0,2.0
5483.0,98732.0,CHIEF_INVESTIGATOR,1980.0,Australia,,3098.0,31.0,,,0.0,1.0,0.0,0.0,0.0,0.0
5484.0,66437.0,CHIEF_INVESTIGATOR,1950.0,Australia,,1798.0,118.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
5485.0,115417.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,Other,2253.0,19.0,Yes ,>=0 to 5,1.0,6.0,0.0,7.0,8.0,1.0
5486.0,81052.0,CHIEF_INVESTIGATOR,1950.0,Australia,,978.0,25.0,,,0.0,1.0,0.0,2.0,4.0,5.0
5487.0,246732.0,CHIEF_INVESTIGATOR,1970.0,Australia,,593.0,7.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
5487,67392.0,CHIEF_INVESTIGATOR,1955.0,North America,,593.0,7.0,,Less than 0,1.0,1.0,0.0,0.0,0.0,0.0
5488.0,66047.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3198.0,31.0,Yes ,more than 15,4.0,1.0,90.0,34.0,22.0,2.0
5489.0,72672.0,CHIEF_INVESTIGATOR,1945.0,,,,,,,0.0,0.0,1.0,1.0,0.0,1.0
5489,66877.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2163.0,19.0,,Less than 0,3.0,2.0,0.0,0.0,0.0,0.0
5490.0,74302.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2603.0,25.0,Yes ,>10 to 15,2.0,1.0,3.0,1.0,4.0,1.0
5490,868722.0,CHIEF_INVESTIGATOR,1965.0,Australia,,,,Yes ,,0.0,2.0,0.0,0.0,0.0,0.0
5491.0,22847.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2053.0,19.0,Yes ,>=0 to 5,4.0,0.0,5.0,5.0,1.0,0.0
5492.0,639457.0,CHIEF_INVESTIGATOR,1975.0,,,3048.0,31.0,,,0.0,1.0,6.0,1.0,2.0,0.0
5493.0,17657.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,,528.0,7.0,Yes ,>5 to 10,1.0,2.0,0.0,6.0,0.0,1.0
5494.0,489582.0,CHIEF_INVESTIGATOR,1975.0,Great Britain,,3048.0,31.0,Yes ,>=0 to 5,2.0,2.0,13.0,1.0,3.0,1.0
5494,72467.0,CHIEF_INVESTIGATOR,1945.0,Australia,,3048.0,31.0,Yes ,more than 15,1.0,1.0,0.0,0.0,0.0,0.0
5496.0,72722.0,CHIEF_INVESTIGATOR,1955.0,Australia,English,2103.0,19.0,Yes ,more than 15,0.0,1.0,2.0,2.0,3.0,4.0
5496,296942.0,DELEGATED_RESEARCHER,1970.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5497.0,140282.0,CHIEF_INVESTIGATOR,1955.0,Australia,,528.0,7.0,Yes ,>=0 to 5,1.0,1.0,8.0,14.0,22.0,1.0
5498.0,867367.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2163.0,19.0,Yes ,>=0 to 5,1.0,0.0,1.0,1.0,0.0,3.0
5499.0,26107.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2558.0,25.0,Yes ,>5 to 10,2.0,3.0,3.0,4.0,7.0,0.0
5501.0,79062.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2813.0,25.0,,>5 to 10,0.0,2.0,39.0,29.0,10.0,2.0
5502.0,32912.0,CHIEF_INVESTIGATOR,1970.0,Australia,,528.0,7.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
5503.0,54322.0,CHIEF_INVESTIGATOR,1960.0,Eastern Europe,,2923.0,25.0,,Less than 0,0.0,3.0,0.0,0.0,0.0,5.0
5503,639557.0,CHIEF_INVESTIGATOR,1960.0,North America,,803.0,7.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
5503,73757.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2923.0,25.0,Yes ,>5 to 10,2.0,1.0,4.0,5.0,13.0,5.0
5504.0,24552.0,CHIEF_INVESTIGATOR,1970.0,Australia,,593.0,7.0,Yes ,>5 to 10,0.0,2.0,0.0,2.0,5.0,0.0
5505.0,33247.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,803.0,7.0,Yes ,>5 to 10,1.0,0.0,8.0,4.0,3.0,0.0
5506.0,500332.0,CHIEF_INVESTIGATOR,1970.0,Asia Pacific,,3508.0,4.0,Yes ,>=0 to 5,1.0,6.0,0.0,0.0,2.0,0.0
5507.0,7587.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2603.0,25.0,Yes ,>10 to 15,1.0,0.0,2.0,5.0,15.0,0.0
5507,24017.0,PRINCIPAL_SUPERVISOR,1970.0,Australia,,2603.0,25.0,Yes ,>5 to 10,2.0,1.0,0.0,0.0,0.0,0.0
5509.0,2107.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,528.0,7.0,Yes ,>5 to 10,1.0,2.0,2.0,4.0,1.0,0.0
5510.0,1222.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,3098.0,31.0,,,1.0,0.0,6.0,4.0,4.0,17.0
5511.0,105337.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2828.0,25.0,,>=0 to 5,2.0,2.0,9.0,7.0,6.0,2.0
5511,3692.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2828.0,25.0,,Less than 0,2.0,2.0,0.0,0.0,0.0,0.0
5512.0,145447.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,3198.0,31.0,Yes ,>=0 to 5,0.0,1.0,4.0,4.0,0.0,1.0
5513.0,74292.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3028.0,31.0,Yes ,>10 to 15,0.0,2.0,10.0,7.0,3.0,0.0
