"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
4634	"RFCD291003"	30	"SEO700102"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4635	"RFCD400301"	40	"SEO750202"	40	42932	"CHIEF_INVESTIGATOR"	"1960"	"NewZealand"	NA	"Dept803"	"Faculty7"	"Yes "	"Duration0to5"	0	0	0	0	0	0
4636	"RFCD400303"	20	"SEO750802"	20	63137	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept653"	"Faculty7"	"Yes "	"DurationGT15"	0	2	0	0	0	0
4637	"RFCD370105"	30	"SEO750312"	30	81847	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationGT15"	0	0	0	0	0	0
4638	"RFCD410303"	40	"SEO750202"	30	55272	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4639	NA	NA	"SEO680202"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4640	"RFCD370203"	40	"SEO750312"	30	36472	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept828"	"Faculty7"	""	"Duration5to10"	1	0	0	0	0	0
4641	"RFCD291401"	40	"SEO670304"	30	74002	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	"Dept1098"	"Faculty1"	""	"DurationLT0"	0	3	0	0	0	0
4642	"RFCD291104"	40	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4643	"RFCD350201"	30	"SEO750199"	50	63547	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"DurationGT15"	0	1	0	0	0	0
4644	NA	NA	NA	NA	82072	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2298"	"Faculty46"	""	"DurationLT0"	3	1	0	0	0	0
4645	"RFCD321028"	50	"SEO730299"	30	8772	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	""	"DurationLT0"	5	5	3	9	12	23
4646	"RFCD340405"	30	"SEO729999"	20	8042	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept1678"	"Faculty13"	"Yes "	"Duration5to10"	1	0	0	0	0	0
4647	"RFCD280112"	30	NA	NA	82837	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"OtherLang"	"Dept3073"	"Faculty31"	""	"DurationLT0"	0	1	0	0	0	0
4648	"RFCD279901"	50	"SEO779903"	50	500142	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3268"	"Faculty31"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4649	NA	NA	"SEO730102"	50	7452	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2628"	"Faculty25"	""	"Duration5to10"	5	7	0	0	0	0
4650	"RFCD330199"	40	"SEO749999"	50	80702	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"Duration0to5"	1	1	0	0	0	0
4651	"RFCD430101"	30	"SEO750804"	30	11837	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1033"	"Faculty1"	"Yes "	"Duration5to10"	0	1	0	0	0	0
4652	"RFCD259902"	30	"SEO770101"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4653	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4654	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4655	NA	NA	"SEO750202"	20	89257	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept528"	"Faculty7"	""	"DurationLT0"	1	0	0	0	0	0
4656	"RFCD430103"	40	"SEO750902"	40	48817	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4657	"RFCD320402"	40	"SEO730101"	20	117462	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration0to5"	0	5	0	0	0	0
4659	"RFCD321204"	30	"SEO750204"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4660	"RFCD300803"	40	"SEO630501"	50	488857	"PRINCIPAL_SUPERVISOR"	"1965"	"GreatBritain"	NA	"Dept1038"	"Faculty1"	""	"DurationUnk"	1	0	0	0	0	0
4661	"RFCD270203"	30	"SEO770806"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4662	"RFCD370101"	40	"SEO750306"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4663	"RFCD370203"	50	"SEO730217"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4664	"RFCD270210"	40	"SEO730212"	20	64842	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	4	1	0	0	0	0
4665	"RFCD310201"	30	"SEO680299"	30	82347	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4666	"RFCD300501"	30	"SEO670502"	20	10662	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	"English"	"Dept1258"	"Faculty34"	"Yes "	"Duration10to15"	1	2	0	0	0	0
4668	NA	NA	NA	NA	67447	"PRINCIPAL_SUPERVISOR"	"1970"	"GreatBritain"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration5to10"	0	0	0	0	0	0
4669	NA	NA	NA	NA	96312	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2153"	"Faculty19"	"Yes "	"Duration0to5"	0	1	0	0	0	0
4671	"RFCD321203"	20	"SEO730209"	20	145732	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4672	"RFCD250407"	20	NA	NA	88087	"DELEGATED_RESEARCHER"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4673	NA	NA	NA	NA	85642	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	8	9	0	0	0	0
4675	"RFCD321013"	33	"SEO730111"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4676	NA	NA	NA	NA	107862	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"Duration0to5"	4	2	0	0	0	0
4677	NA	NA	NA	NA	32822	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration5to10"	1	1	0	0	0	0
4678	NA	NA	NA	NA	500142	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3268"	"Faculty31"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4679	"RFCD300601"	50	"SEO620301"	50	592	"PRINCIPAL_SUPERVISOR"	"1955"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration10to15"	1	2	0	0	0	0
4681	NA	NA	NA	NA	67037	"CHIEF_INVESTIGATOR"	"1950"	"EasternEurope"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration10to15"	4	12	0	0	0	0
4683	NA	NA	NA	NA	120892	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4684	"RFCD270707"	50	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4685	NA	NA	NA	NA	71727	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	"English"	"Dept3268"	"Faculty31"	"Yes "	"DurationGT15"	0	1	0	0	0	0
4686	NA	NA	NA	NA	444932	"CHIEF_INVESTIGATOR"	"1970"	"AsiaPacific"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration0to5"	0	0	0	0	0	0
4687	NA	NA	NA	NA	120892	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4688	NA	NA	"SEO730201"	10	107862	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"Duration0to5"	4	3	0	0	0	0
4689	NA	NA	NA	NA	500142	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3268"	"Faculty31"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4690	NA	NA	NA	NA	71727	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	"English"	"Dept3268"	"Faculty31"	"Yes "	"DurationGT15"	0	1	0	0	0	0
4691	"RFCD270707"	50	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4692	NA	NA	NA	NA	82602	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"DurationGT15"	0	1	0	0	0	0
4693	NA	NA	NA	NA	444932	"CHIEF_INVESTIGATOR"	"1970"	"AsiaPacific"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration0to5"	0	0	0	0	0	0
4694	NA	NA	NA	NA	68517	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2538"	"Faculty25"	""	"Duration0to5"	1	0	0	0	0	0
4695	NA	NA	NA	NA	893852	"CHIEF_INVESTIGATOR"	"1970"	"AsiaPacific"	NA	"Dept2813"	"Faculty25"	"Yes "	"DurationUnk"	1	0	0	0	0	0
4698	NA	NA	NA	NA	7992	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationLT0"	1	0	0	0	0	0
4700	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4701	NA	NA	NA	NA	74722	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration10to15"	1	0	0	0	0	0
4702	NA	NA	NA	NA	30047	"CHIEF_INVESTIGATOR"	"1965"	"EasternEurope"	NA	"Dept3943"	"Faculty31"	"Yes "	"Duration5to10"	1	0	0	0	0	0
4703	NA	NA	NA	NA	79712	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	"English"	"Dept3943"	"Faculty31"	"Yes "	"DurationGT15"	2	0	0	0	0	0
4704	NA	NA	NA	NA	585767	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration0to5"	0	0	0	0	0	0
4705	"RFCD291099"	20	NA	NA	2022	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration10to15"	2	2	0	0	0	0
4707	"RFCD320504"	25	"SEO730112"	40	61242	"DELEGATED_RESEARCHER"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4708	NA	NA	NA	NA	66987	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2178"	"Faculty19"	"Yes "	"Duration5to10"	1	1	0	0	0	0
4709	"RFCD300204"	50	NA	NA	79802	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"DurationGT15"	3	1	0	0	0	0
4710	NA	NA	NA	NA	112562	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2163"	"Faculty19"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4711	NA	NA	NA	NA	714027	"DELEGATED_RESEARCHER"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4713	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4714	NA	NA	NA	NA	70707	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	"English"	"Dept2163"	"Faculty19"	"Yes "	"DurationGT15"	0	0	0	0	0	0
4716	"RFCD270707"	10	"SEO630302"	90	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4717	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4719	"RFCD320702"	30	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4720	"RFCD321099"	10	NA	NA	82547	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"DurationGT15"	4	4	0	0	0	0
4721	NA	NA	"SEO750312"	60	16452	"CHIEF_INVESTIGATOR"	"1935"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4722	"RFCD330206"	20	NA	NA	39817	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept653"	"Faculty7"	""	"Duration0to5"	0	2	0	0	0	0
4723	NA	NA	"SEO750312"	60	16452	"CHIEF_INVESTIGATOR"	"1935"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4725	"RFCD410402"	30	"SEO680401"	30	685762	"CHIEF_INVESTIGATOR"	"1970"	"SouthAfrica"	NA	"Dept3508"	"Faculty4"	"Yes "	"Duration0to5"	1	1	0	0	0	0
4727	NA	NA	"SEO750312"	60	714027	"DELEGATED_RESEARCHER"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4728	NA	NA	NA	NA	67847	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	NA	"Dept2768"	"Faculty25"	"Yes "	"DurationGT15"	1	1	0	0	0	0
4732	NA	NA	NA	NA	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"DurationGT15"	5	7	0	0	0	0
4733	NA	NA	NA	NA	63947	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4736	NA	NA	"SEO730211"	33	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4737	"RFCD270501"	33	"SEO770702"	25	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4738	"RFCD321105"	40	NA	NA	17707	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2568"	"Faculty25"	"Yes "	"Duration0to5"	0	3	0	0	0	0
4741	NA	NA	NA	NA	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	11	0	0	1	0
4742	NA	NA	NA	NA	885372	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2768"	"Faculty25"	"Yes "	"DurationLT0"	1	0	0	0	0	0
4747	NA	NA	"SEO730108"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4748	"RFCD270501"	33	"SEO770702"	25	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4749	"RFCD320603"	50	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4750	NA	NA	NA	NA	73422	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration10to15"	1	3	0	0	0	0
4751	NA	NA	NA	NA	79327	"CHIEF_INVESTIGATOR"	"1945"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4752	NA	NA	"SEO730201"	50	2477	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration10to15"	0	1	0	0	0	0
4753	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4754	NA	NA	"SEO780102"	40	808557	"CHIEF_INVESTIGATOR"	"1980"	NA	NA	"Dept3198"	"Faculty31"	"Yes "	"DurationLT0"	1	0	0	0	0	0
4755	NA	NA	NA	NA	76007	"PRINCIPAL_SUPERVISOR"	"1955"	"Australia"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration10to15"	0	0	0	0	0	0
4756	NA	NA	"SEO730116"	20	663742	"CHIEF_INVESTIGATOR"	"1975"	"WesternEurope"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	0	0
4757	NA	NA	NA	NA	79032	"DELEGATED_RESEARCHER"	"1955"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"DurationGT15"	0	4	0	0	0	0
4758	"RFCD270802"	30	"SEO670403"	30	64842	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	4	1	0	0	0	0
4759	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4760	"RFCD270209"	50	"SEO730107"	50	82547	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"DurationGT15"	4	5	0	0	0	0
4761	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4762	NA	NA	NA	NA	178232	"CHIEF_INVESTIGATOR"	"1945"	"GreatBritain"	NA	"Dept998"	"Faculty1"	"Yes "	"Duration0to5"	0	5	0	0	0	0
4763	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4764	"RFCD320799"	25	NA	NA	82892	"CHIEF_INVESTIGATOR"	"1970"	"WesternEurope"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration0to5"	3	0	0	0	0	0
4765	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4766	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4767	NA	NA	NA	NA	78817	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"DurationGT15"	3	6	0	0	0	0
4768	"RFCD270104"	30	NA	NA	7587	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration10to15"	0	0	0	0	0	0
4770	"RFCD321216"	50	"SEO730218"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4771	"RFCD321004"	45	"SEO730219"	40	5967	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration10to15"	2	1	1	0	1	0
4775	"RFCD321003"	30	"SEO730106"	30	74162	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	0	0	0
4776	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4778	"RFCD260602"	30	"SEO780104"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4779	"RFCD270899"	20	"SEO670199"	50	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4781	"RFCD260599"	25	"SEO760199"	80	7792	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4783	"RFCD321004"	40	"SEO730105"	50	89467	"PRINCIPAL_SUPERVISOR"	"1960"	"NewZealand"	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	2	3	0	0	0	0
4784	"RFCD321004"	30	NA	NA	89467	"PRINCIPAL_SUPERVISOR"	"1960"	"NewZealand"	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	2	3	0	0	0	0
4785	"RFCD270203"	50	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4786	NA	NA	NA	NA	36857	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"DurationLT0"	1	1	0	0	0	0
4787	"RFCD320704"	60	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4788	"RFCD320603"	40	"SEO730213"	40	10002	"CHIEF_INVESTIGATOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4790	"RFCD321004"	30	NA	NA	147857	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2678"	"Faculty25"	""	"DurationLT0"	1	7	0	0	0	0
4791	"RFCD321003"	30	"SEO730105"	50	865067	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration0to5"	1	1	0	0	0	0
4792	"RFCD440104"	30	NA	NA	605207	"CHIEF_INVESTIGATOR"	"1940"	"GreatBritain"	NA	"Dept2298"	"Faculty46"	""	"DurationLT0"	1	1	0	0	0	0
4795	NA	NA	NA	NA	44252	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	1	0	0	0	0	0
4796	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4799	NA	NA	"SEO730201"	30	68377	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2893"	"Faculty25"	"Yes "	"DurationGT15"	0	0	0	0	0	0
4800	"RFCD320602"	50	"SEO730106"	40	865067	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration0to5"	1	1	0	0	0	0
4805	NA	NA	NA	NA	72037	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration5to10"	3	6	0	0	0	0
4806	"RFCD320702"	30	NA	NA	8732	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration10to15"	0	1	0	0	0	0
4807	"RFCD240401"	20	NA	NA	107262	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	"English"	"Dept3198"	"Faculty31"	""	"DurationUnk"	0	2	0	0	0	0
4809	"RFCD350103"	50	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4811	NA	NA	"SEO670402"	25	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4812	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4813	"RFCD321207"	40	"SEO730106"	10	1757	"CHIEF_INVESTIGATOR"	"1950"	"AsiaPacific"	NA	"Dept2923"	"Faculty25"	""	"DurationLT0"	0	6	0	0	0	0
4815	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4816	"RFCD270208"	40	"SEO730118"	10	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4817	"RFCD270199"	50	NA	NA	7597	"CHIEF_INVESTIGATOR"	"1955"	"EasternEurope"	"English"	"Dept3048"	"Faculty31"	"Yes "	"Duration10to15"	2	2	0	0	0	0
4818	"RFCD321004"	40	"SEO730105"	40	4747	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	1	1	3	0
4819	"RFCD291504"	50	NA	NA	96312	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2153"	"Faculty19"	"Yes "	"Duration0to5"	0	1	0	0	0	0
4820	"RFCD321004"	40	"SEO730105"	50	79652	"CHIEF_INVESTIGATOR"	"1950"	"AsiaPacific"	NA	"Dept2498"	"Faculty25"	"Yes "	"DurationGT15"	0	3	0	0	0	0
4821	"RFCD321004"	40	"SEO730105"	40	103432	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2568"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
4822	"RFCD270707"	10	"SEO630302"	90	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4824	"RFCD321011"	33	"SEO730202"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4825	"RFCD270103"	40	"SEO730104"	20	359677	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3258"	"Faculty31"	""	"DurationUnk"	0	1	0	0	0	0
4826	NA	NA	"SEO730110"	60	5702	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2853"	"Faculty25"	""	"Duration10to15"	2	2	0	0	0	0
4827	"RFCD300399"	40	"SEO620209"	45	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4828	"RFCD320402"	40	"SEO730101"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
